N,E,W,X
46, 46.2669, 5, 39
55, 44.1973, 4, 4769
56, 60.1934, 4, 5099
48, 2.82398, 6, 25543
43, 20.5222, 4, 8726
49, 50.735, 8, 5927
22, 0.851064, 2, 10688
23, -0.560928, 2, 231
31, 14.2553, 4, 6110
49, 15.9188, 6, 25442
57, 31.7021, 4, 2566
60, 41.9729, 2, 11167
46, 21.1219, 1, 19190
55, 27.7563, 1, 11669
52, 51.3346, 0, 10924
53, 51.8569, 0, 265
50, 50.2901, 1, 12343
49, 45.8994, 1, 67
45, 48.646, 1, 4922
38, 33.3849, 5, 29100
39, 25.2031, 1, 11936
44, 25.8801, 2, 1359
52, 66.8085, 6, 17156
52, 66.8085, 6, 168
48, 56.9826, 6, 260
49, 55.5706, 6, 485
49, 55.5706, 6, 220
44, 41.354, 5, 8937
35, 30.8511, 3, 2856
36, 38.1431, 4, 3210
35, 24.0812, 3, 2536
35, 22.147, 3, 446
40, 13.1528, 3, 6977
41, 21.412, 3, 877
58, 38.9942, 3, 15639
58, 34.1586, 5, 1929
54, 47.5435, 3, 38861
48, 53.1141, 2, 3948
48, 51.1799, 2, 193
54, 60.1161, 2, 12545
56, 66.9632, 2, 635
52, 60.0387, 1, 2197
55, 36.4603, 2, 3590
54, 37.8723, 1, 145
55, 48.0658, 4, 12864
60, 41.0058, 7, 10023
58, 39.9613, 7, 511
55, 33.559, -2, 8935
49, 10.1161, 2, 21483
50, 4.83559, 3, 11796
50, 0.967118, 3, 1945
51, -8.18182, 4, 1436
48, -7.81431, 4, 0
48, -7.81431, 4, 130
48, -9.74855, 4, 194
47, 30.3482, 5, 8028
47, 27.4468, -6, 404
56, 40.8511, -2, 10405
56, 41.8182, -2, 244
38, 38.2205, 6, 11813
49, 56.5377, 6, 20716
50, 45.4545, 7, 662
50, 64.7969, 7, 7155
45, 62.1857, 7, 2076
43, 34.0619, 5, 43481
58, 19.6518, 7, 29537
54, 15.6286, 5, 42345
55, 14.2166, 5, 237
54, 62.0503, 2, 10393
53, 58.6267, 5, 5665
58, 97.9884, 6, 9204
53, 76.0348, 5, 3359
52, 65.8414, 5, 711
52, 67.7756, 5, 310
58, 62.205, 4, 2634
61, 82.147, 1, 21616
61, 80.2128, 1, 94
56, 64.0619, 5, 6555
55, 61.6054, 5, 0
47, 43.8878, 3, 8534
47, 42.9207, 3, 333
46, 37.5629, -5, 42038
47, 38.0851, -4, 361
47, 36.1509, -4, 881
55, 53.8685, -1, 10664
47, 40.9865, -1, 1650
46, 48.2012, 5, 23372
52, 54.236, 9, 10972
47, 46.7892, 7, 9364
52, 41.6634, 6, 7597
56, 42.7853, 7, 3444
47, 42.9207, 7, 4219
61, 38.6267, 10, 31951
60, 36.1702, 10, 35
59, 35.648, 10, 47
51, 13.0948, 7, 9511
35, 34.7195, -2, 9816
43, 39.8646, -1, 8575
45, 47.6789, -1, 1560
46, 29.8259, -1, 4902
46, 21.1219, 5, 26138
40, 35.3965, 2, 17524
39, 34.8743, 2, 1224
38, 34.352, 2, 804
38, 34.352, 2, 44
31, 24.8936, 1, 3559
50, 20.3095, 6, 42362
43, 17.6209, -1, 12527
47, 25.5126, 0, 8637
48, 29.9033, 0, 2086
47, 26.4797, 0, 103
41, -4.70019, 2, 2683
43, 17.6209, 6, 5044
45, 36.0735, 6, 7201
41, 43.6557, 6, 1422
42, 40.3095, 6, 355
44, 26.8472, 5, 26039
44, 24.913, 6, 551
43, 26.325, 6, 17
39, 45.5126, 6, 1351
48, 36.6731, 6, 6725
50, 37.7176, 6, 28707
52, 50.3675, 7, 2662
52, 50.3675, 7, 394
54, 51.412, 8, 1318
55, 50, 8, 345
54, 49.4778, 8, 0
50, 46.4217, 7, 38498
49, 45.8994, 7, 263
47, 48.7234, 7, 795
47, 28.4139, 7, 20015
41, 39.7872, 4, 4961
46, 54.0039, 4, 2955
51, 74.0232, 2, 9581
52, 76.4797, 2, 901
49, 82.6499, 2, 2048
50, 58.9942, 2, 5978
54, 38.8395, 6, 31701
48, 56.9826, 2, 7476
49, 35.2611, 4, 32828
48, 34.7389, 4, 228
45, 30.2708, 3, 10394
44, 25.8801, 3, 101
44, 34.5841, 8, 12679
44, 40.3868, 7, 1120
44, 35.5513, 7, 3004
44, 35.5513, 7, 432
47, 37.118, 6, 3697
53, 47.0213, 3, 13974
53, 56.6925, 5, 3267
58, 56.4023, 5, 6574
53, 15.1064, 7, 11283
60, 36.1702, 6, 7292
53, 20.9091, 6, 7688
59, 34.6809, 9, 17377
49, 29.4584, -2, 45628
48, 32.8046, -2, 227
53, 27.6789, 0, 7109
50, 22.2437, 5, 18909
51, 31.47, 4, 1243
52, 31.9923, 4, 223
39, 19.4004, 2, 11323
50, 15.4739, 3, 18899
50, 0.967118, 2, 5804
37, 5.78337, 2, 6912
41, 55.2611, 3, 10718
46, 33.6944, 5, 7629
45, 55.4159, -8, 3630
42, 54.8162, -10, 14252
43, 55.3385, -10, 243
48, 56.9826, 3, 5322
46, 45.2998, 4, 47989
53, 45.087, 5, 2813
54, 41.7408, 5, 233
56, 30.2128, 7, 7705
49, 43.9652, 4, 4529
45, 36.0735, 1, 22824
46, 40.4642, 1, 333
45, 34.1393, 1, 49
55, 32.5919, 3, 10280
55, 35.4932, 6, 1302
56, 36.9826, 11, 12206
50, 49.323, 7, 5638
52, 65.8414, 8, 2243
37, 29.9613, 6, 15347
43, 26.325, 7, 6101
38, 17.911, 6, 722
37, 15.4545, 7, 1644
36, 18.8008, 4, 3513
39, 22.3017, 5, 5695
38, 15.9768, 5, 17
38, 12.1083, 5, 470
38, 14.0426, 5, 50
49, 41.0638, 3, 17837
45, 47.6789, 5, 1734
46, 38.53, 3, 6873
46, 24.0232, 10, 6266
53, -10.0387, 6, 26694
52, -6.69246, 6, 178
52, -1.85687, 5, 3119
40, -0.386847, 6, 2230
42, 10.3288, 3, 3769
33, 28.8395, 0, 3644
35, 31.8182, 0, 495
37, 43.501, 1, 13459
37, 48.3366, 1, 802
45, 51.5474, 2, 4307
